INFO 2024-09-04 05:44:48,514 autoreload Watching for file changes with StatReloader
DEBUG 2024-09-04 05:44:48,515 autoreload Waiting for apps ready_event.
DEBUG 2024-09-04 05:44:50,212 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-09-04 05:44:50,219 autoreload Watching dir /Users/rentsher/Desktop/chatbot/chatbot/myenv/lib/python3.11/site-packages/rest_framework/templates with glob **/*.
DEBUG 2024-09-04 05:44:50,219 autoreload Watching dir /Users/rentsher/Desktop/chatbot/chatbot/locale with glob **/*.mo.
DEBUG 2024-09-04 05:44:50,219 autoreload Watching dir /Users/rentsher/Desktop/chatbot/chatbot/myenv/lib/python3.11/site-packages/rest_framework/locale with glob **/*.mo.
DEBUG 2024-09-04 05:44:50,266 utils (0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2024-09-04 05:44:50,268 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2024-09-04 05:44:50,281 autoreload File /opt/homebrew/Cellar/python@3.11/3.11.2_1/Frameworks/Python.framework/Versions/3.11/lib/python3.11/lib-dynload/_ctypes.cpython-311-darwin.so first seen with mtime 1675777962.0
DEBUG 2024-09-04 05:44:50,282 autoreload File /Users/rentsher/Desktop/chatbot/chatbot/myenv/lib/python3.11/site-packages/pydantic/_internal/_core_utils.py first seen with mtime 1725306270.8552904
DEBUG 2024-09-04 05:44:50,282 autoreload File /Users/rentsher/Desktop/chatbot/chatbot/myenv/lib/python3.11/site-packages/urllib3/util/__init__.py first seen with mtime 1725306253.001709
DEBUG 2024-09-04 05:44:50,282 autoreload File /Users/rentsher/Desktop/chatbot/chatbot/myenv/lib/python3.11/site-packages/django/db/migrations/operations/models.py first seen with mtime 1725304487.0655725
DEBUG 2024-09-04 05:44:50,282 autoreload File /Users/rentsher/Desktop/chatbot/chatbot/myenv/lib/python3.11/site-packages/django/db/backends/sqlite3/creation.py first seen with mtime 1725304487.0107014
DEBUG 2024-09-04 05:44:50,282 autoreload File /opt/homebrew/Cellar/python@3.11/3.11.2_1/Frameworks/Python.framework/Versions/3.11/lib/python3.11/importlib/metadata/_text.py first seen with mtime 1675777962.0
DEBUG 2024-09-04 05:44:50,282 autoreload File /Users/rentsher/Desktop/chatbot/chatbot/myenv/lib/python3.11/site-packages/yaml/cyaml.py first seen with mtime 1725306253.908318
DEBUG 2024-09-04 05:44:50,282 autoreload File /opt/homebrew/Cellar/python@3.11/3.11.2_1/Frameworks/Python.framework/Versions/3.11/lib/python3.11/socket.py first seen with mtime 1675777962.0
DEBUG 2024-09-04 05:44:50,282 autoreload File /opt/homebrew/Cellar/python@3.11/3.11.2_1/Frameworks/Python.framework/Versions/3.11/lib/python3.11/email/header.py first seen with mtime 1675777962.0
DEBUG 2024-09-04 05:44:50,282 autoreload File /Users/rentsher/Desktop/chatbot/chatbot/myenv/lib/python3.11/site-packages/langchain_text_splitters/nltk.py first seen with mtime 1725306277.5814228
DEBUG 2024-09-04 05:44:50,282 autoreload File /Users/rentsher/Desktop/chatbot/chatbot/myenv/lib/python3.11/site-packages/rest_framework/utils/timezone.py first seen with mtime 1725304964.5620115
DEBUG 2024-09-04 05:44:50,282 autoreload File /Users/rentsher/Desktop/chatbot/chatbot/myenv/lib/python3.11/site-packages/numpy/core/_string_helpers.py first seen with mtime 1725306254.9166389
DEBUG 2024-09-04 05:44:50,282 autoreload File /Users/rentsher/Desktop/chatbot/chatbot/myenv/lib/python3.11/site-packages/langchain_core/vectorstores/base.py first seen with mtime 1725391554.4079092
DEBUG 2024-09-04 05:44:50,282 autoreload File /opt/homebrew/Cellar/python@3.11/3.11.2_1/Frameworks/Python.framework/Versions/3.11/lib/python3.11/lib-dynload/_heapq.cpython-311-darwin.so first seen with mtime 1675777962.0
DEBUG 2024-09-04 05:44:50,282 autoreload File /Users/rentsher/Desktop/chatbot/chatbot/myenv/lib/python3.11/site-packages/django/conf/__init__.py first seen with mtime 1725304477.732024
DEBUG 2024-09-04 05:44:50,282 autoreload File /opt/homebrew/Cellar/python@3.11/3.11.2_1/Frameworks/Python.framework/Versions/3.11/lib/python3.11/functools.py first seen with mtime 1675777962.0
DEBUG 2024-09-04 05:44:50,282 autoreload File /Users/rentsher/Desktop/chatbot/chatbot/myenv/lib/python3.11/site-packages/langchain_core/retrievers.py first seen with mtime 1725391554.3819592
DEBUG 2024-09-04 05:44:50,282 autoreload File /Users/rentsher/Desktop/chatbot/chatbot/myenv/lib/python3.11/site-packages/django/template/loaders/filesystem.py first seen with mtime 1725304487.54899
DEBUG 2024-09-04 05:44:50,282 autoreload File /Users/rentsher/Desktop/chatbot/chatbot/myenv/lib/python3.11/site-packages/django/shortcuts.py first seen with mtime 1725304477.7235665
DEBUG 2024-09-04 05:44:50,282 autoreload File /Users/rentsher/Desktop/chatbot/chatbot/myenv/lib/python3.11/site-packages/django/contrib/__init__.py first seen with mtime 1725304478.5581179
DEBUG 2024-09-04 05:44:50,282 autoreload File /Users/rentsher/Desktop/chatbot/chatbot/myenv/lib/python3.11/site-packages/tenacity/_utils.py first seen with mtime 1725306253.596958
DEBUG 2024-09-04 05:44:50,282 autoreload File /Users/rentsher/Desktop/chatbot/chatbot/myenv/lib/python3.11/site-packages/django/core/files/locks.py first seen with mtime 1725304486.7386658
DEBUG 2024-09-04 05:44:50,282 autoreload File /Users/rentsher/Desktop/chatbot/chatbot/myenv/lib/python3.11/site-packages/urllib3/util/proxy.py first seen with mtime 1725306253.0064862
DEBUG 2024-09-04 05:44:50,282 autoreload File /Users/rentsher/Desktop/chatbot/chatbot/myenv/lib/python3.11/site-packages/PyPDF2/generic/__init__.py first seen with mtime 1725390892.9983168
DEBUG 2024-09-04 05:44:50,282 autoreload File /Users/rentsher/Desktop/chatbot/chatbot/myenv/lib/python3.11/site-packages/numpy/core/_type_aliases.py first seen with mtime 1725306254.9540927
DEBUG 2024-09-04 05:44:50,282 autoreload File /Users/rentsher/Desktop/chatbot/chatbot/myenv/lib/python3.11/site-packages/numpy/lib/polynomial.py first seen with mtime 1725306255.2713253
DEBUG 2024-09-04 05:44:50,282 autoreload File /Users/rentsher/Desktop/chatbot/chatbot/myenv/lib/python3.11/site-packages/numpy/core/_multiarray_tests.cpython-311-darwin.so first seen with mtime 1725306254.9391434
DEBUG 2024-09-04 05:44:50,282 autoreload File /Users/rentsher/Desktop/chatbot/chatbot/myenv/lib/python3.11/site-packages/langchain/chains/combine_documents/map_rerank.py first seen with mtime 1725391558.0871913
DEBUG 2024-09-04 05:44:50,282 autoreload File /opt/homebrew/Cellar/python@3.11/3.11.2_1/Frameworks/Python.framework/Versions/3.11/lib/python3.11/asyncio/base_futures.py first seen with mtime 1675777962.0
DEBUG 2024-09-04 05:44:50,282 autoreload File /opt/homebrew/Cellar/python@3.11/3.11.2_1/Frameworks/Python.framework/Versions/3.11/lib/python3.11/concurrent/futures/__init__.py first seen with mtime 1675777962.0
DEBUG 2024-09-04 05:44:50,282 autoreload File /Users/rentsher/Desktop/chatbot/chatbot/myenv/lib/python3.11/site-packages/numpy/core/function_base.py first seen with mtime 1725306254.9442987
DEBUG 2024-09-04 05:44:50,282 autoreload File /Users/rentsher/Desktop/chatbot/chatbot/myenv/lib/python3.11/site-packages/sqlparse/exceptions.py first seen with mtime 1725304477.0450313
DEBUG 2024-09-04 05:44:50,282 autoreload File /Users/rentsher/Desktop/chatbot/chatbot/myenv/lib/python3.11/site-packages/django/templatetags/static.py first seen with mtime 1725304487.5586178
DEBUG 2024-09-04 05:44:50,282 autoreload File /Users/rentsher/Desktop/chatbot/chatbot/myenv/lib/python3.11/site-packages/django/template/engine.py first seen with mtime 1725304487.5233343
DEBUG 2024-09-04 05:44:50,282 autoreload File /Users/rentsher/Desktop/chatbot/chatbot/myenv/lib/python3.11/site-packages/langchain_core/tracers/_streaming.py first seen with mtime 1725391554.395004
DEBUG 2024-09-04 05:44:50,282 autoreload File /Users/rentsher/Desktop/chatbot/chatbot/myenv/lib/python3.11/site-packages/langchain_core/messages/chat.py first seen with mtime 1725391554.3633783
DEBUG 2024-09-04 05:44:50,282 autoreload File /Users/rentsher/Desktop/chatbot/chatbot/myenv/lib/python3.11/site-packages/anyio/streams/stapled.py first seen with mtime 1725306270.1119714
DEBUG 2024-09-04 05:44:50,283 autoreload File /Users/rentsher/Desktop/chatbot/chatbot/myenv/lib/python3.11/site-packages/urllib3/contrib/__init__.py first seen with mtime 1725306252.9911509
DEBUG 2024-09-04 05:44:50,283 autoreload File /Users/rentsher/Desktop/chatbot/chatbot/myenv/lib/python3.11/site-packages/numpy/polynomial/polynomial.py first seen with mtime 1725306255.3251865
DEBUG 2024-09-04 05:44:50,283 autoreload File /Users/rentsher/Desktop/chatbot/chatbot/myenv/lib/python3.11/site-packages/numpy/polynomial/polyutils.py first seen with mtime 1725306255.3211272
DEBUG 2024-09-04 05:44:50,283 autoreload File /Users/rentsher/Desktop/chatbot/chatbot/myenv/lib/python3.11/site-packages/PyPDF2/types.py first seen with mtime 1725390892.9914865
DEBUG 2024-09-04 05:44:50,283 autoreload File /Users/rentsher/Desktop/chatbot/chatbot/myenv/lib/python3.11/site-packages/django/core/exceptions.py first seen with mtime 1725304486.6777744
DEBUG 2024-09-04 05:44:50,283 autoreload File /opt/homebrew/Cellar/python@3.11/3.11.2_1/Frameworks/Python.framework/Versions/3.11/lib/python3.11/email/generator.py first seen with mtime 1675777962.0
DEBUG 2024-09-04 05:44:50,283 autoreload File /Users/rentsher/Desktop/chatbot/chatbot/myenv/lib/python3.11/site-packages/django/utils/version.py first seen with mtime 1725304487.6523557
DEBUG 2024-09-04 05:44:50,283 autoreload File /Users/rentsher/Desktop/chatbot/chatbot/myenv/lib/python3.11/site-packages/numpy/polynomial/_polybase.py first seen with mtime 1725306255.320405
DEBUG 2024-09-04 05:44:50,283 autoreload File /Users/rentsher/Desktop/chatbot/chatbot/myenv/lib/python3.11/site-packages/django/templatetags/i18n.py first seen with mtime 1725304487.555363
DEBUG 2024-09-04 05:44:50,283 autoreload File /opt/homebrew/Cellar/python@3.11/3.11.2_1/Frameworks/Python.framework/Versions/3.11/lib/python3.11/struct.py first seen with mtime 1675777962.0
DEBUG 2024-09-04 05:44:50,283 autoreload File /Users/rentsher/Desktop/chatbot/chatbot/myenv/lib/python3.11/site-packages/django/db/backends/base/features.py first seen with mtime 1725304486.9131582
DEBUG 2024-09-04 05:44:50,283 autoreload File /Users/rentsher/Desktop/chatbot/chatbot/myenv/lib/python3.11/site-packages/requests/exceptions.py first seen with mtime 1725306268.9434505
DEBUG 2024-09-04 05:44:50,283 autoreload File /opt/homebrew/Cellar/python@3.11/3.11.2_1/Frameworks/Python.framework/Versions/3.11/lib/python3.11/traceback.py first seen with mtime 1675777962.0
DEBUG 2024-09-04 05:44:50,283 autoreload File /Users/rentsher/Desktop/chatbot/chatbot/myenv/lib/python3.11/site-packages/numpy/random/_bounded_integers.cpython-311-darwin.so first seen with mtime 1725306255.3007793
